trip_id,pattern_id,pattern_name
13466042,282086,W1
13466043,282086,W1
13466045,282086,W1
13525766,282086,W1
13525768,282086,W1
13525769,282086,W1
13525772,282086,W1
13525773,282086,W1
13525775,282086,W1
13525778,282086,W1
13525779,282086,W1
13525781,282086,W1
13525782,282086,W1
13525783,282086,W1
13525784,282086,W1
13525787,282086,W1
13525788,282086,W1
13525789,282086,W1
13525790,282086,W1
13525791,282086,W1
13525792,282086,W1
13525793,282086,W1
13525794,282086,W1
13525795,282086,W1
13525796,282086,W1
13525797,282086,W1
13525798,282086,W1
13525799,282086,W1
13525831,282086,W1
13525832,282086,W1
13465551,282087,W2
13465558,282087,W2
13465561,282087,W2
13465562,282087,W2
13465563,282087,W2
13465566,282087,W2
13465575,282087,W2
13465576,282087,W2
13465583,282087,W2
13465584,282087,W2
13465587,282087,W2
13465589,282087,W2
13465594,282087,W2
13465598,282087,W2
13465604,282087,W2
13465606,282087,W2
13465607,282087,W2
13465614,282087,W2
13465615,282087,W2
13465617,282087,W2
13465620,282087,W2
13465622,282087,W2
13465623,282087,W2
13465624,282087,W2
13465626,282087,W2
13465629,282087,W2
13465631,282087,W2
13465636,282087,W2
13465639,282087,W2
13465644,282087,W2
13465757,282087,W2
13465758,282087,W2
13465761,282087,W2
13465778,282087,W2
13465782,282087,W2
13465783,282087,W2
13465785,282087,W2
13465786,282087,W2
13465787,282087,W2
13465788,282087,W2
13465792,282087,W2
13465793,282087,W2
13465803,282087,W2
13465804,282087,W2
13465806,282087,W2
13465809,282087,W2
13465810,282087,W2
13465812,282087,W2
13465815,282087,W2
13465817,282087,W2
13465819,282087,W2
13465820,282087,W2
13465821,282087,W2
13465822,282087,W2
13465825,282087,W2
13465827,282087,W2
13465829,282087,W2
13465831,282087,W2
13465833,282087,W2
13465835,282087,W2
13465836,282087,W2
13465842,282087,W2
13465844,282087,W2
13465846,282087,W2
13465847,282087,W2
13465848,282087,W2
13465850,282087,W2
13465851,282087,W2
13465852,282087,W2
13465853,282087,W2
13465953,282087,W2
13465954,282087,W2
13465955,282087,W2
13465956,282087,W2
13465958,282087,W2
13465959,282087,W2
13465960,282087,W2
13465965,282087,W2
13465975,282087,W2
13465976,282087,W2
13465992,282087,W2
13466002,282087,W2
13466003,282087,W2
13466004,282087,W2
13466007,282087,W2
13466011,282087,W2
13466012,282087,W2
13466017,282087,W2
13466019,282087,W2
13466024,282087,W2
13466025,282087,W2
13466026,282087,W2
13466027,282087,W2
13466028,282087,W2
13466032,282087,W2
13466033,282087,W2
13466044,282087,W2
13466046,282087,W2
13466047,282087,W2
13525761,282087,W2
13525762,282087,W2
13525763,282087,W2
13525764,282087,W2
13525765,282087,W2
13525767,282087,W2
13525770,282087,W2
13525771,282087,W2
13525774,282087,W2
13525776,282087,W2
13525777,282087,W2
13525780,282087,W2
13525786,282087,W2
13525829,282087,W2
13525830,282087,W2
13525833,282087,W2
13525834,282087,W2
13466048,282089,N1
13466049,282089,N1
13466050,282089,N1
13466051,282089,N1
13466052,282089,N1
13466053,282089,N1
13466054,282089,N1
13466055,282089,N1
13466056,282089,N1
13466057,282089,N1
13466058,282089,N1
13466059,282089,N1
13466060,282089,N1
13466061,282089,N1
13466062,282089,N1
13466063,282089,N1
13466064,282089,N1
13466065,282089,N1
13466066,282089,N1
13466067,282089,N1
13466068,282089,N1
13466069,282089,N1
13466070,282089,N1
13466071,282089,N1
13466072,282089,N1
13466073,282089,N1
13466074,282089,N1
13466075,282089,N1
13466076,282089,N1
13466077,282089,N1
13466078,282089,N1
13466079,282089,N1
13466080,282089,N1
13466081,282089,N1
13466082,282089,N1
13466083,282089,N1
13466084,282089,N1
13466085,282089,N1
13466086,282089,N1
13466087,282089,N1
13466088,282089,N1
13466089,282089,N1
13466090,282089,N1
13466091,282089,N1
13466092,282089,N1
13466093,282089,N1
13466094,282089,N1
13466095,282089,N1
13466096,282089,N1
13466097,282089,N1
13466098,282089,N1
13466099,282089,N1
13466100,282089,N1
13466101,282089,N1
13466102,282089,N1
13466103,282089,N1
13466104,282089,N1
13466105,282089,N1
13466106,282089,N1
13466107,282089,N1
13466108,282089,N1
13466109,282089,N1
13466110,282089,N1
13466111,282089,N1
13466112,282089,N1
13466113,282089,N1
13466114,282089,N1
13466115,282089,N1
13466116,282089,N1
13466117,282089,N1
13466118,282089,N1
13466119,282089,N1
13466120,282089,N1
13466121,282089,N1
13466122,282089,N1
13466123,282089,N1
13466124,282089,N1
13466125,282089,N1
13466126,282089,N1
13466127,282089,N1
13466128,282089,N1
13466129,282089,N1
13466130,282089,N1
13466131,282089,N1
13466132,282089,N1
13466218,282089,N1
13466219,282089,N1
13466220,282089,N1
13466221,282089,N1
13466222,282089,N1
13466223,282089,N1
13466224,282089,N1
13466225,282089,N1
13466226,282089,N1
13466227,282089,N1
13466228,282089,N1
13466229,282089,N1
13466230,282089,N1
13466231,282089,N1
13466232,282089,N1
13466233,282089,N1
13466234,282089,N1
13466235,282089,N1
13466236,282089,N1
13466237,282089,N1
13466238,282089,N1
13466239,282089,N1
13466240,282089,N1
13466241,282089,N1
13466242,282089,N1
13466243,282089,N1
13466244,282089,N1
13466245,282089,N1
13466246,282089,N1
13466247,282089,N1
13466248,282089,N1
