route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6705,2,13563286,321 White Rock South,,1,2065862,284068,0,1
6705,2,13563287,321 White Rock South,,1,2067491,284068,0,1
6705,2,13563288,321 White Rock Centre,,1,2065861,284069,0,1
6705,2,13563289,321 White Rock Centre,,1,2067490,284069,0,1
6705,2,13563290,321 White Rock Centre,,1,2067491,284069,0,1
6705,2,13563291,321 White Rock Centre,,1,2065806,284069,0,1
6705,2,13563292,321 White Rock Centre,,1,2065862,284069,0,1
6705,2,13563293,321 White Rock Centre,,1,2065858,284069,0,1
6705,2,13563294,321 White Rock Centre,,1,2065866,284069,0,1
6705,2,13563295,321 White Rock Centre,,1,2065858,284069,0,1
6705,2,13563296,321 White Rock Centre,,1,2067492,284069,0,1
6705,2,13563297,321 White Rock Centre,,1,2067489,284069,0,1
6705,2,13563298,321 White Rock Centre,,1,2067491,284069,0,1
6705,2,13563299,321 White Rock Centre,,1,2067490,284069,0,1
6705,2,13563300,321 White Rock Centre,,1,2067491,284069,0,1
6705,2,13563301,321 White Rock Centre,,1,2065859,284069,0,1
6705,2,13563302,321 White Rock Centre,,1,2067492,284069,0,1
6705,2,13563303,321 White Rock Centre,,1,2065862,284069,0,1
6705,2,13563304,321 White Rock Centre,,1,2067489,284069,0,1
6705,2,13563305,321 White Rock Centre,,1,2065859,284069,0,1
6705,2,13563306,321 White Rock Centre,,1,2067492,284069,0,1
6705,2,13563307,321 White Rock Centre,,1,2065862,284072,0,1
6705,2,13563308,321 White Rock Centre,,1,2067489,284069,0,1
6705,2,13563309,321 White Rock Centre,,1,2065866,284072,0,1
6705,2,13563310,321 White Rock Centre,,1,2065930,284069,0,1
6705,3,13563311,321 Surrey Central Station,,0,2068795,284061,0,1
6705,3,13563312,321 Surrey Central Station,,0,2065870,284060,0,1
6705,3,13563313,321 Surrey Central Station,,0,2065875,284060,0,1
6705,3,13563314,321 Surrey Central Station,,0,2065877,284060,0,1
6705,3,13563315,321 Surrey Central Station,,0,2065878,284060,0,1
